questionNumber,type,dateModified,categoryPath,learningPointNumbers,sectionLetter,stem,question,option1,option2,option3,option4,option5,explanation1,explanation2,explanation3,explanation4,explanation5,correctOption
55,,,,162,d,,"Based on her history, what length of time should she be anticoagulated for?",3 months,6 months,12 months,24 months,Life-long,"This lady has no identifiable trigger (e.g., surgery, long haul flights, trauma, etc.) for her DVT. As such, this would be classed as an unprovoked DVT which is typically anticoagulated for 6 months. Note that this means she should also have further investigations to assess for an underlying cause. If this had been a provoked DVT, anticoagulation for 3 months would have been appropriate.","Correct. This lady has no identifiable trigger (e.g., surgery, long haul flights, trauma, etc.) for her DVT. As such, this would be classed as an unprovoked DVT which is typically anticoagulated for 6 months. Note that this means she should also have further investigations to assess for an underlying cause.","This lady has no identifiable trigger (e.g., surgery, long haul flights, trauma, etc.) for her DVT. As such, this would be classed as an unprovoked DVT which is typically anticoagulated for 6 months. Note that this means she should also have further investigations to assess for an underlying cause. There are instances where anticoagulation may be required for more than 6 months, but this may depend on circumstances such as the cause or number of VTE events, and is a specialist decision.","This lady has no identifiable trigger (e.g., surgery, long haul flights, trauma, etc.) for her DVT. As such, this would be classed as an unprovoked DVT which is typically anticoagulated for 6 months. Note that this means she should also have further investigations to assess for an underlying cause. There are instances where anticoagulation may be required for more than 6 months, but this may depend on circumstances such as the cause or number of VTE events, and is a specialist decision.","This lady has no identifiable trigger (e.g., surgery, long haul flights, trauma, etc.) for her DVT. As such, this would be classed as an unprovoked DVT which is typically anticoagulated for 6 months. Note that this means she should also have further investigations to assess for an underlying cause. There are instances where anticoagulation may be required for more than 6 months, but this may depend on circumstances such as the cause or number of VTE events, and is a specialist decision. Life-long anticoagulation may be considered as an option if there are recurrent DVTs or if she experiences a DVT/PE during treatment.",2
55,,,,165,e,She is investigated for an underlying cause of her DVT.,Which of the following is likely to be found in her investigations?,Factor V Leiden gene,Deficiency in protein C,Deficiency in protein S,Deficiency in antithrombin,Presence of anticardiolipin antibodies,"Factor V Leiden is the most common inherited thrombophilia. It has an autosomal dominant inheritance pattern and often, there is a family history of recurrent DVTs. However, the recurrent miscarriages and presence of livedo reticularis are suspicious for antiphospholipid syndrome being the most likely diagnosis.","Protein C is responsible for inhibiting coagulation factors V and VIII. This is essential in regulating secondary haemostasis and so a lack of protein C leads to excessive clot formation. However, the recurrent miscarriages and presence of livedo reticularis are suspicious for antiphospholipid syndrome being the most likely diagnosis.","Protein S is responsible for inhibiting coagulation. Lack of protein S leads to excessive clot formation. However, the recurrent miscarriages and presence of livedo reticularis are suspicious for antiphospholipid syndrome being the most likely diagnosis.","Antithrombin inhibits some enzymes of the clotting cascade. Therefore, a lack of antithrombin leads to excessive clot formation. However, the recurrent miscarriages and presence of livedo reticularis are suspicious for antiphospholipid syndrome being the most likely diagnosis.","Correct. The recurrent miscarriages, presence of livedo reticularis and DVT are suspicious for antiphospholipid syndrome being the most likely diagnosis. This is an autoimmune disorder characterised by the formation of antibodies against the beta-2-glycoprotein 1 molecules on platelets (antiphospholipid antibodies). This leads to abnormal platelet activation and clot formation, leading to DVTs and PEs in the venous system as well as raising the risk for stroke and MI in the arterial system. This condition is also associated with poor placental development and function, leading to recurrent miscarriages, pre-eclampsia, premature birth and stillbirths.",5
55,,,,166,f,"<p>She is started on apixaban for the next 6 months. She presents a month later with shortness of breath and pleuritic chest pain. She tells you that she has had an episode of haemoptysis.</p>
<p>On examination, the patient is dyspnoeic and tachycardic. Her trachea is central. There is bilateral and equal chest expansion, with normal resonance throughout. Auscultation reveals vesicular breathing. Her oxygen saturations are 90%.</p>",What is the most likely diagnosis?,Spontaneous pneumothorax,Pneumonia,Pulmonary embolism,Atelectasis,Pleurisy,"Although a pneumothorax will also cause pleuritic chest pain, the history of haemoptysis, a previous DVT and a clear chest with normal resonance makes PE the most likely diagnosis. In a pneumothorax, we may expect to see a hyperresonant chest, due to the presence of air in the pleural cavity. There would also be reduced air entry over the pneumothorax.","Pneumonia may also cause pleuritic chest pain and haemoptysis. However, we would expect a productive cough, fever, and chest signs such as coarse crackles and dullness on percussion. The history of a previous DVT and a normal chest examination makes PE the most likely diagnosis.","Correct. The patient has a history of an unprovoked DVT so is at risk of developing a pulmonary embolism. This is demonstrated in the history with pleuritic chest pain, haemoptysis, and a normal chest examination. ","Atelectasis refers to the collapse of a lobe of the lung. It often leads to shortness of breath. However, it does not lead to haemoptysis. We may also expect a reduced chest expansion on the side of the collapse and deviation of the trachea towards the side of the collapse.","Pleurisy is characterised by pleuritic chest pain. However, there is often an infective trigger such as a preceding viral infection, which is absent here. Here, the patient has had an unprovoked DVT so is at risk of developing a pulmonary embolism. This is demonstrated in the history with pleuritic chest pain, haemoptysis, and a normal chest examination. Rarely, a pleural rub may be auscultated in pleurisy. ",3
55,,,,167,g,,How long should she be anticoagulated now?,3 months,6 months,12 months,24 months, Life-long,This is the length of time of anticoagulation for a provoked DVT. This patient has had a second thrombotic event while being anticoagulated so requires anticoagulation for life.,This is the length of time of anticoagulation for an unprovoked DVT. This presence of a second thrombotic event while being anticoagulated means she likely requires anticoagulation for life.,This presence of a second thrombotic event while being anticoagulated means she likely requires anticoagulation for life.,This presence of a second thrombotic event while being anticoagulated means she likely requires anticoagulation for life.,Correct. This presence of a second thrombotic event while being anticoagulated means she likely requires anticoagulation for life.,5
56,active,11/01/2022,Haematology,"168,169",a,"<p>A 67-year-old man presents to A&E with acute onset pleuritic chest pain, shortness of breath and haemoptysis over the last few hours. His past medical history includes a motorbike accident 5 years ago which left him paralysed and wheelchair-bound.</p>
<p>On examination, his chest is expanding bilaterally, and is resonant throughout with vesicular breathing. His oxygen saturations are 93%, pulse is 120bpm, respiratory rate is 29/min, and temperature is 37.8C. His blood pressure is 126/90mmHg.</p>",What is the most likely diagnosis?,Spontaneous pneumothorax,Pneumonia,Pulmonary embolism,Atelectasis,Pleurisy,"Although a pneumothorax will also cause pleuritic chest pain (due to irritation of the parietal pleura), the history of haemoptysis and prolonged immobility with a clear and resonant chest on examination makes PE the most likely diagnosis. In a pneumothorax, we may expect a hyperresonant chest due to presence of air in the pleural cavity and chest expansion and breathing sounds may be reduced in the location of the pneumothorax","Pneumonia may also cause pleuritic chest pain and haemoptysis. However, we would expect a productive cough with a higher-grade fever/systemic upset, as well as chest signs such as coarse crackles and dullness on percussion on examination. The history of a prolonged immobility with a normal chest examination makes PE the most likely diagnosis.","Correct. The patient has a history of prolonged immobility leading to stasis of blood so is at a risk of a pulmonary embolism. He also has clinical features of a PE including pleuritic chest pain, haemoptysis and a normal chest examination. Absence of systemic upset makes infection unlikely.","Atelectasis refers to the collapse of a lobe of the lung. It often leads to shortness of breath. However, it does not lead to haemoptysis. We may also expect a reduced chest expansion on the side of the collapse and deviation of the trachea towards the side of the collapse. These features are not present in this patient.","Pleurisy is characterised by pleuritic chest pain. However, there is often an infective trigger such as a preceding viral infection, which has not been reported here. This patient has a history of immobility, leading to stasis of blood, so is at a risk of a pulmonary embolism. The history of pleuritic chest pain, haemoptysis, and a normal chest examination makes PE most likely. It is worth noting that rarely, a pleural rub may be auscultated in pleurisy.",3
56,,,,170,b,,Which area should be thoroughly examined to help with the diagnosis?,"Arms
",Legs,Nails,Abdomen,Lower back,"Most PEs occur as a result of a dislodged clot from a deep vein thrombosis. While this can occur in any deep vein, it most commonly occurs in the legs so this should be thoroughly examined to rule out a DVT.","Correct. Most PEs occur as a result of a dislodged clot from a deep vein thrombosis. Most commonly, DVTs affect the legs so this should be thoroughly examined to rule out a DVT.","Nails provide huge amounts of information about nutrition, arterial insufficiency and some autoimmune conditions such as psoriasis. However, they are not that useful in making the diagnosis of a DVT or PE.","Most DVTs and PEs do not affect the abdomen so this tends to be soft and non-tender. Most commonly, DVTs affect the legs so this should be thoroughly examined to rule out a DVT.","Most DVTs and PEs do not affect the lumbar spine. Most commonly, DVTs affect the legs so this should be thoroughly examined to rule out a DVT.",2
56,,,,"171,172",c,Examination of the patient’s leg is unremarkable.,What is the next step in his management?,Offer a D-dimer test,Perform echocardiography and thrombolysis ,Perform embolectomy,Arrange immediate CT pulmonary angiogram,Offer apixaban,"This patient has a Well’s score of 7: alternative diagnosis less likely than PE (3), tachycardia (1.5), immobilisation for more than 3 days (1.5), haemoptysis (1). A Well’s score of > 4 indicates that a PE is likely and NICE recommend that these patients should be admitted to hospital and offered an immediate CTPA. A D-dimer test would be offered if the Well’s score was 0-4, indicating that a PE is unlikely.","This would be appropriate if the patient was suspected of having a PE but was haemodynamically unstable. In this case, their blood pressure is within normal range so the patient is still considered haemodynamically stable. In such cases, NICE recommend using the Well’s score for PE to guide the next steps in management and investigations.","This is an interventional step in haemodynamically unstable patients who are unable to undergo thrombolysis. This patient is haemodynamically stable. In such cases, NICE recommend using the Well’s score for PE to guide the next steps in management and investigations.","Correct. This patient has a Well’s score of 7: alternative diagnosis less likely than PE (3), tachycardia (1.5), immobilisation for more than 3 days (1.5), haemoptysis (1). A Well’s score of > 4 indicates that a PE is likely and NICE recommend that these patients should be admitted to hospital and offered an immediate CTPA.","The patient is haemodynamically stable. This patient has a Well’s score of 7: alternative diagnosis less likely than PE (3), tachycardia (1.5), immobilisation for more than 3 days (1.5), haemoptysis (1). A Well’s score of > 4 indicates that a PE is likely and NICE recommend that these patients should be admitted to hospital and offered an immediate CTPA. Only if this is unavailable should interim treatment anticoagulation (e.g., apixaban) be given.",4
56,,,,"172,173",d,You attempt to arrange a CTPA however are told that none are available at the moment. ,What is the next step in management?,Offer treatment dose apixaban and perform CTPA within 24 hours,Wait for CTPA to become available ,Order a D-dimer test and offer anticoagulation if this is positive,Offer treatment dose heparin and perform CTPA within 24 hours,Offer echocardiography and offer apixaban if this is abnormal,"Correct. NICE recommend that if a CTPA is not immediately available, interim treatment anticoagulation should be offered and a CTPA should be performed later to confirm the diagnosis. It is preferred that the interim anticoagulant is one that can be continued if PE is confirmed (a DOAC like apixaban is recommended first-line). Since PE can lead to worsening hypoxia, right-sided heart failure and cardiac arrest, treatment should not be delayed.","NICE recommend that if a CTPA is not immediately available, interim treatment anticoagulation should be offered and a CTPA should be performed later to confirm the diagnosis. A PE is life-threatening as it can lead to worsening hypoxia, right-sided heart failure and cardiac arrest, so treatment should not be delayed.","D-dimer test is ordered if the Well’s score is 0-4 (making a PE unlikely). In this case, the patient’s Well’s score is 7 so it is recommended that a CTPA be performed immediately. However, this investigation is not currently available. NICE recommend that in these instances, interim treatment anticoagulation should be offered and a CTPA be performed later to confirm the diagnosis. Treatment should not be delayed as PEs are life-threatening and can lead to worsening hypoxia, right-sided heart failure and cardiac arrest.",NICE recommend DOACs such as apixaban or rivaroxaban as first-line options for the management of DVT/PE. It is preferred that the interim anticoagulation can be continued in the event that a PE is confirmed. LMWH could be considered second-line if DOACs were contraindicated.,"While an echocardiography is good for observing right ventricular wall activity and could detect large pulmonary embolisms, it can miss small embolisms so a normal echocardiography cannot rule out a PE. An echo may be useful in patients who are haemodynamically unstable but do not otherwise have much diagnostic value. In patients likely to have a PE, a CTPA should be performed immediately. NICE recommends that if this is unavailable, interim treatment anticoagulation should be offered and a CTPA should be performed later to confirm the diagnosis. A PE is life-threatening so treatment should not be delayed.",1
56,,,,174,e,"As part of his initial investigations, an ECG is ordered.",What is the most common finding?,Peaked P waves,Right bundle branch block ,S1Q3T3 pattern,Right axis deviation,Sinus tachycardia ,"Peaked P waves is a recognised finding which occurs due to outflow obstruction of the right ventricle. This leads to improper right atrial emptying, leading to high pressure and distension of the right atrium. However, the most common finding is sinus tachycardia.","RBBB is a recognised finding. This occurs as the right bundle is a thinner, more fragile structure than the left. Improper emptying of the right ventricle leads to rising wall stress which can damage the delicate structure of the right bundle branch. However, the most common finding is sinus tachycardia.","This is a rare but characteristic finding in a PE. However, the most common finding is sinus tachycardia.","Right axis deviation is a recognised finding which occurs due to the rising pressure and wall stress on the right ventricle. However, the most common finding is sinus tachycardia.","Correct. The most common finding is sinus tachycardia. In a PE, the occlusion of the pulmonary vessels leads to impaired filling of the left ventricle. This reduces stroke volume and cardiac output, leading to a compensatory tachycardia as a means of maintaining cardiac ouptut. Other rarer findings include right axis deviation, right bundle branch block and S1Q3T3 pattern.",5
57,active,11/01/2022,Haematology,"175,176",a,"<p>A 28-year-old man was brought into A&E after he collapsed at the shopping centre. He regained consciousness in A&amp;E and appears extremely breathless while speaking to you. He is complaining of very sharp chest pain as he breathes in and has coughed up blood a few times.</p>
<p>His oxygen saturations are 90%. His blood pressure is 88/56mmHg. He has a pulse of 130bpm and a respiratory rate of 32/min. On examination, he has a raised JVP up to his ears but his trachea is central, and his chest is clear and resonant throughout.</p>",What is the first step in his management? ,Call the anaesthetist to establish a permanent airway,Administer high flow 100% oxygen,Give an immediate 500ml bolus of fluid,Perform a chest X-ray,Perform an ABG,"The patient is conscious and speaking so is able to maintain his own airway. At the moment, his airway does not seem threatened so there is no need to establish a permanent airway.","Correct. This patient is haemodynamically unstable, suggested by hypotension and tachycardia. Although we are suspecting a PE, the most important action at this stage is stabilising the patient using an A to E approach. His airway is patent but the patient is hypoxic, so the next most important step is administering high flow oxygen (15L/min) via a non-rebreathe mask.","This patient is haemodynamically unstable, suggested by hypotension and tachycardia. Although we are suspecting a PE, the most important action at this stage is stabilising the patient using an A to E approach. Using this approach, ‘breathing’ comes before ‘circulation’ so the first step would be to administer high flow oxygen (15L/min) via a non-rebreather mask. Also, caution should be taken with infusing IV fluids in a haemodynamically unwell patient with a PE due to right-sided heart strain.","While a chest X-ray may be performed later, the most important action at this stage is stabilising this patient using the A to E approach. Since the airway is patent, correcting the hypoxia is the next most important step. This can be addressed by administering high flow oxygen (15L/min) via a non-rebreather mask.","While an ABG may be performed later, the most important action at this stage is stabilising this patient using the A to E approach. Since the airway is patent, correcting the hypoxia is the next most important step. This can be addressed by administering high flow oxygen at 15l/min via non-rebreather mask.",2
57,,,,177,b,,What is the next most important investigation to help guide his management?,Immediate CTPA,D-dimer,Echocardiography,CT chest,Duplex ultrasound of the legs,"A CTPA can be considered in patients who are haemodynamically stable as you would have time to calculate a Well’s score for PE. This patient is not stable and may require immediate treatment with thrombolysis, which can be guided by echocardiography.","D-dimer test can be considered in patients who are haemodynamically stable as you would have time to calculate a Well’s score for PE. This patient is not stable and requires immediate treatment with thrombolysis, which can be guided by echocardiography.","Correct. This patient is haemodynamically unstable and may experience a cardiac arrest at any point. The most likely diagnosis here is a large saddle embolus obstructing the pulmonary trunk, leading to improper right ventricular emptying, right ventricular strain and a raised JVP.","A CT chest is unlikely to have any diagnostic value in this scenario and is unlikely to play a role in  guiding management. As such, it is not indicated here, especially as this patient is haemodynamically unstable.","Although this may detect a DVT, the most important and life-threatening issue right now is the saddle embolus and right ventricular outflow obstruction. As such, an urgent echocardiography can be used to diagnose this at the side of the bed and guide management.",3
57,,,,176,c,The patient is otherwise well.,What is the definitive management?,Apixaban,Alteplase,Low molecular weight heparin,Embolectomy,Warfarin,Apixaban is used in haemodynamically stable patients with an established diagnosis of PE or as interim anticoagulation at treatment dose in suspected diagnosis where the relevant investigations with results are not available in the appropriate time frame. It works by inhibiting factor Xa so would prevent the embolus from getting any bigger. This means that apixaban will not actively break the clot down but will allow the plasmin in the blood to break the clot down at a quicker rate than it can grow. This would not be sufficient in a haemodynamically unstable patient. They would require thrombolysis.,"Correct. This is a haemodynamically unstable patient who likely has a saddle embolus. In cases of massive PE (saddle embolus), alteplase is the preferred agent for thrombolysis. It works by activating serum plasminogen into plasmin, which actively breaks the crosslinks between fibrin molecules, helping to destabilise the clot.","LMWH can be used second-line in haemodynamically stable patients with an established diagnosis of PE or as interim anticoagulation at treatment dose in suspected diagnosis where the relevant investigations with results are not available in the appropriate time frame. It works by potentiating the action of antithrombin so downregulates the action of thrombin. As such, it does not actively break down the clot but allows the plasmin in the blood to do this at a quicker rate than the clot can grow. In haemodynamically unstable patients, thrombolysis is needed.",This may be considered as an option if thrombolysis is contraindicated. No contraindications are stated in the stem.,"This may be used to provide long-term anticoagulation. However, it is not used acutely in massive saddle embolism.",2
57,,,,178,d,,How long should he be anticoagulated for?,3 months,6 months,12 months,24 months, Life-long,"3 months of anticoagulation would be prescribed if the PE was provoked. In this case, the gentleman is otherwise healthy with no identified cause or risk factors for this episode. Therefore, it would be classified as an unprovoked PE, requiring a longer period of anticoagulation (usually 6 months).","Correct. This gentleman is otherwise healthy with no identified cause or risk factors for this episode. Therefore, it would be classified as an unprovoked PE, requiring a longer period of anticoagulation (usually 6 months).","This gentleman is otherwise healthy with no identified cause or risk factors for this episode. Therefore, it would be classified as an unprovoked PE, requiring a longer period of anticoagulation (usually 6 months).","This gentleman is otherwise healthy with no identified cause or risk factors for this episode. Therefore, it would be classified as an unprovoked PE, requiring a longer period of anticoagulation (usually 6 months).","This gentleman is otherwise healthy with no identified cause or risk factors for this episode. Therefore, it would be classified as an unprovoked PE, requiring a longer period of anticoagulation (usually 6 months). Should he have further episodes or have a VTE while on anticoagulation therapy, this option may be considered.",2
57,,,,179,e,"To investigate the cause of his PE, he has a thrombophilia screen as well as some other investigations.",Which of the following conditions would not increase the risk of a PE?,Factor V Leiden,Antiphospholipid syndrome,Heparin-induced thrombocytopenia,Antithrombin deficiency,Von-Willebrand disease,"This is the most common inherited thrombophilia, characterised by factor V resistance against activated protein C. Protein C is one of the intrinsic anti-clotting factors and as such, resistance to this would tip the coagulation-fibrinolysis balance towards increased clot formation.","This is an autoimmune disorder characterised by the formation of antibodies against the beta-2-glycoprotein-1 molecules on platelets (aka antiphospholipid antibodies). This leads to abnormal platelet activation and clot formation, leading to DVTs and PEs in the venous system and increasing the risk for stroke and MI in the arterial system. This condition is also associated with poor placental development and function, leading to recurrent miscarriages, pre-eclampsia, premature birth, and stillbirths.","Do not be fooled by the ‘thrombocytopenia’. Heparin-induced thrombocytopenia conversely increases the risk of clots and digital infarcts. Heparin may bind to platelet factor 4. This leads to the development of antibodies against the platelet factor 4/heparin complexes. Once these antibodies bind, they cause inappropriate platelet activation, leading to clot formation. These clots may become lodged in the pulmonary vasculature, leading to a PE. ",Antithrombin is one of the intrinsic anti-clotting factors so resistance to this tips the coagulation-fibrinolysis balance towards increased clot formation.,"Correct. Von-Willebrand disease is characterised by the absence or deficiency of von-Willebrand factor. This is needed in primary haemostasis to help form the platelet plug. As such, von-Willebrand disease is a bleeding disorder so does not raise the risk of a PE. ",5
58,active,11/01/2022,Haematology,"169,174",a,"<p>A 73-year-old lady presents to A&E with new onset shortness of breath. She says that this started 4-5 hours ago when she was extremely breathless walking from her bedroom to the kitchen. She doesn't have any chest pain but has experienced haemoptysis. Her past medical history includes end stage kidney disease and congestive cardiac failure.</p>
<p>On examination, her chest has bilateral and equal air entry, and is resonant throughout. Auscultation reveals vesicular breathing with an audible pericardial rub. Her oxygen saturations are 92% on air and desaturates to 88% on walking. Her pulse is 120bpm, respiratory rate is 28/min, and blood pressure is 130/98mmHg. Her temperature is 37.2C.</p>
<p>Her ECG shows sinus tachycardia and her ABG is shown below:</p>
<table>
<tbody>
<tr>
<td>
<p><strong>pH</strong></p>
</td>
<td>
<p><strong>7.52&nbsp;</strong></p>
</td>
<td>
<p><strong>7.35 - 7.45</strong></p>
</td>
</tr>
<tr>
<td>
<p><strong>pCO2</strong></p>
</td>
<td>
<p><strong>3.5kPa&nbsp;</strong></p>
</td>
<td>
<p><strong>4.5 - 6.0 kPa</strong></p>
</td>
</tr>
<tr>
<td>
<p><strong>PaO2</strong></p>
</td>
<td>
<p><strong>8.0 kPa&nbsp;&nbsp;</strong></p>
</td>
<td>
<p><strong>10 - 14 kPa</strong></p>
</td>
</tr>
<tr>
<td>
<p><strong>HCO3</strong></p>
</td>
<td>
<p><span style=""font-weight: 400;"">24mmol/l&nbsp;</span></p>
</td>
<td>
<p><span style=""font-weight: 400;"">22 - 26mmol/l</span></p>
</td>
</tr>
</tbody>
</table>",What is the most likely diagnosis?,Acute pulmonary oedema,Pulmonary embolism,Pneumonia,Pleural effusion,Uraemic pericarditis,"This is a good differential, especially in a lady with existing CKD and CCF. However, we would expect to hear coarse crackles on the auscultation of her chest. In this case, her chest was clear on auscultation with bilateral vesicular breathing.","Correct. The desaturation on exertion and the characteristic ABG pattern of respiratory alkalosis with hypoxaemia strongly points towards a diagnosis of a PE. Furthermore, although rare, a pericardial rub is a recognised feature in a pulmonary embolism.","Although pneumonia may also lead to dyspnoea and hypoxia, we would expect to see a productive cough and fever with this. However, this diagnosis should be thoroughly investigated as those with CCF and CKD are at a significantly higher risk of pneumonia.","A pleural effusion may also lead to hypoxia that worsens on exertion. However, we may expect to see reduced chest expansion and reduced air entry on the affected side as well as a stony, dull percussion note. These features are not present here.","Uraemic pericarditis is an important diagnosis to consider as this person has stage 4 CKD. Uraemic pericarditis requires immediate dialysis. However, in this condition, we would expect to see pleuritic chest pain which is relieved by leaning forward and worse on lying flat. These features are not present here. Furthermore, we may expect to see characteristic ECG findings such as PR depression and saddle shaped ST elevation globally. These features are also not present here.",2
58,,,,"171,174,180,181",b,A chest X-ray is performed which is normal. A diagnosis of PE is suspected.,"Based on her Well’s score, what is the most appropriate next step?",Offer a D-dimer test,Perform echocardiography and thrombolysis,Perform an embolectomy,Arrange for an immediate CT pulmonary angiogram,Offer apixaban,"Correct. This patient’s Well’s score for pulmonary embolism is 2.5: tachycardia (1.5), haemoptysis (1). According to this score, this patient is unlikely to have a PE. NICE recommend that patients with a Well’s score of 0-4 should have a D-dimer test with results within 4 hours. If this is elevated, they should be admitted and offered an immediate CTPA. If neither of these investigations are available with results within the appropriate time range, interim treatment dose anticoagulation should be offered.",Echocardiography and thrombolysis are performed in a patient with haemodynamic instability. This patient is currently stable with a blood pressure >100mmHg systolic.,Embolectomies are considered in haemodynamically unstable patients if thrombolysis is required but contraindicated. This patient is currently stable with a blood pressure >100mmHg systolic.,"This patient’s Well’s score for pulmonary embolism is 2.5: tachycardia (1.5), haemoptysis (1). According to this score, this patient is unlikely to have a PE. NICE recommend that patients with a Well’s score of 0-4 should have a D-dimer test with results within 4 hours. Only if this is elevated, should they be admitted and offered an immediate CTPA. If neither of these investigations are available with results within the appropriate time range, interim treatment dose anticoagulation should be offered.","This could be offered if a D-dimer is not available within 4 hours. This patient’s Well’s score for pulmonary embolism is 2.5: tachycardia (1.5), haemoptysis (1). According to this score, this patient is unlikely to have a PE. NICE recommend that patients with a Well’s score of 0-4 should have a D-dimer test with results within 4 hours. If this is elevated, they should be admitted and offered an immediate CTPA. If neither of these investigations are available with results within the appropriate time range, interim treatment dose anticoagulation should be offered.",1
58,,,,174,c,,What other investigation results are likely to be normal for this patient?,Troponin,BNP,Fibrin degradation products,Creatinine,Alkaline phosphatase,"PE can lead to significant wall strain on the heart, leading to a rise in troponin.","PE can lead to significant wall strain on the heart, leading to an increased release of BNP by the ventricles. This patient also has heart failure so BNP is likely to be raised.","D-dimers are fibrin degradation products. As such, if D-dimer is elevated, it means that there is an elevated amount of fibrin degradation products present in the bloodstream which would support a working diagnosis of PE. ","The patient has CKD stage IV so by definition will have a raised creatinine. It is also worth noting that a massive PE with hypotension can lead to a reduction in cardiac output which reduces renal perfusion, impairing kidney function and raising creatinine.","Correct. ALP is usually elevated in obstructive jaundice or osteomalacia, not PE.",5
58,,,,182,d,Her D-dimer is elevated.,What is the next most appropriate step for this patient?,Immediate CTPA,Non-contrast CT chest,Echocardiography,Ventilation-Perfusion scan,Thrombolysis,"An immediate CTPA is recommended by NICE in this instance. However, this patient has end stage kidney disease. This means her eGFR is &lt;30. The contrast used in CTPA is nephrotoxic and may cause further decrease in renal function so this investigation is contraindicated. In these cases, a ventilation-perfusion scan may be performed second-line.","A CT chest without contrast is unlikely to alter the diagnosis or management. Remember that PE is an issue with pulmonary circulation so the lungs are ventilating normally but they are not receiving blood. As such, a non-contrast CT chest will likely not show anything significant for a PE.","An echocardiography may be done at the bedside in cases of a massive PE/saddle embolus, which is suspected in haemodynamically unstable patients. An echocardiography cannot rule out smaller pulmonary embolisms so is not used as a diagnostic investigation in stable patients.","Correct. This patient has end stage kidney disease. This means her eGFR is &lt;30. The contrast used in CTPA is nephrotoxic and may cause further decrease in renal function so this investigation is contraindicated. In these cases, a ventilation-perfusion scan may be performed second-line.","Thrombolysis is the emergency treatment in a haemodynamically unstable patient. Here, the patient is haemodynamically stable.",4
58,,,,173,e,A ventilation-perfusion scan confirms a mismatch between the ventilation and perfusion in the right lung. Further investigations show that her eGFR is 10.,What is the most appropriate anticoagulation therapy for this patient?,Apixaban,Rivaroxaban,Unfractionated heparin,Warfarin,Thrombolysis,"DOACs (apixaban and rivaroxaban) are usually the first-line. However, this is contraindicated if eGFR &lt;15, which is the case here. In these cases, heparin is preferred. Unfractionated heparin has a shorter half-life so is easier to reverse.","DOACs (apixaban and rivaroxaban) are usually the first-line. However, this is contraindicated if eGFR &lt;15, which is the case here. In these cases, heparin is preferred. Unfractionated heparin allows greater control and tweaking as it has a shorter half-life.","Correct. DOACs (apixaban and rivaroxaban) are usually the first-line. However, this is contraindicated if eGFR &lt;15, which is the case here. In these cases, heparin is preferred. Unfractionated heparin allows greater control and tweaking as it has a shorter half-life.","Warfarin is not used in acute treatment of a PE. It may be bridged with the use of LMWH for 5 days until INR is in range for 48 hours. Acutely, warfarin should not be used alone as it actually increases the likelihood of clotting by decreasing levels of protein C.","Thrombolysis may be used in haemodynamically unstable patients, which is not the case here.",3
59,active,11/01/2022,Neurology ,"183,184",a,A 19 year old man presents to A&E after head trauma. A diagnosis of an acute left sided epidural haematoma is made through a CT scan.,Which of the following descriptions fit closest to what was seen?,A hyperdense crescentic lesion on the left frontal lobe which crosses the suture lines and is causing a midline shift.,A hypodense crescentic lesion on the left frontal lobe with hyperdense pseudomembranes causing a midline shift,A hyperdense lenticular lesion on the left frontal lobe that does not cross the suture lines. There is an associated fracture and significant midline shift.,Hyperdense left middle cerebral artery with loss of grey-white matter differentiation and hypoattenuation at the basal ganglia,Hyperdense filling of the subarachnoid space,Incorrect. This describes a left sided acute subdural haematoma and would not be seen on this patient.,Incorrect. This describes a chronic left sided subdural haematoma and would not be seen on this patient.,Correct. This would be seen on this patient and it describes EDH.,Incorrect. This describes a left MCA ischaemic stroke.,Incorrect. This describes a subarachnoid haemorrhage which does not fit the diagnosis given by the doctor.,3
59,,,,"185,186",b,The doctors have confirmed that the patient does not have any coagulopathies and is not on any anticoagulation medication. The doctors then refer this patient to the neurosurgical team for urgent surgical evacuation.,Which of these clinical features will not indicate the need for urgent surgical evacuation?,Dilated pupil(s),Cushing’s disease,Cushing’s triad,GCS of 5,Coma,Incorrect. This would be a feature of an uncal herniation and would arise due to a surgical 3rd nerve palsy. This is an emergency and would necessitate surgical evacuation.,Correct. Cushing’s disease is the abnormal secretion of cortisol due to an ACTH secreting pituitary adenoma. This is not an indication for urgent surgical evacuation.,Incorrect. Cushing’s triad occurs as a reflex to a raised ICP. Signs of raised ICP are an indication for surgical evacuation.,Incorrect. A GCS&lt;9 is indicative for surgical evacuation.,Incorrect. Coma is indicative for surgical evacuation.,2
59,,,,186,c,,Which procedure is the neurosurgeon going to perform on this patient for his urgent surgical evacuation?,Decompressive hemicraniectomy,Craniotomy,Burr hole trephination,Carotid endarterectomy,Lobotomy,Incorrect. Decompressive hemicraniectomy is usually used in the treatment of a refractory raised ICP and would not be used at this stage of this patient’s care.,Correct. A craniotomy and clot evacuation is the preferred technique for treating an EDH.,Incorrect. Burr-hole trephination is usually only done where there is no immediate access to neurosurgical expertise.,Incorrect. A carotid endarterectomy is not performed in this context but is important in the management of carotid stenosis.,"Incorrect. This psychosurgery procedure is banned because it violates human rights, as it involves removing the prefrontal cortex; the centre of our cognition, decision making and reasoning.",2
